feature,importance
num__static_score,0.5634473965050439
num__dwell_time_ms,0.28536025842796603
num__saved_profile,0.09957274704917461
cat__persona_SOCIAL_EXPLORER,0.014986283326601806
num__social_diff,0.012043342827225882
num__budget_diff,0.006627899278657653
cat__persona_SPONTANEOUS_ADVENTURER,0.0054574979384135825
cat__persona_BUDGET_CONSCIOUS,0.0032958117838203394
cat__persona_SELECTIVE_PLANNER,0.002631680847318537
num__full_profile_open,0.002248647485743596
cat__persona_CAUTIOUS_INTROVERT,0.001627104171205267
num__card_click,0.0007801967207283028
num__activity_score,0.0006382344882865459
num__same_social_battery,0.0003877942678682992
num__planning_diff,0.000272232772079119
num__same_budget,0.0002152966870934864
num__experience_score,0.00018526811541865514
num__destination_score,0.0001606305230280047
num__shared_activities_count,6.167678432636831e-05
num__shared_looking_for_what_count,0.0
num__shared_experience_types_count,0.0
num__shared_destination_types_count,0.0
num__shared_languages_count,0.0
num__same_planning_style,0.0
num__language_score,0.0
num__intent_score,0.0
cat__persona_PASSIVE_BROWSER,0.0
