actor_user_id,target_user_id,static_score,predicted_relevance_score,relevance_score,label,card_click,full_profile_open,dwell_time_ms,saved_profile
11,81,17.5,0.0076363636363636364,0.0,0,0,0,0,0
17,704,35.83,76.90025641025639,79.12,2,1,1,37961,0
17,966,39.17,54.46071428571429,41.0,1,1,1,33787,0
17,520,30.0,16.633636363636363,12.0,0,0,0,0,0
17,396,30.83,16.633636363636363,12.83,0,0,0,0,0
18,956,62.17,92.88549382716049,84.17,2,1,0,0,0
19,463,64.17,99.99915923566878,100.0,3,1,1,60066,0
21,560,54.17,60.96051282051282,36.17,0,1,0,0,0
21,57,43.33,33.733177083333324,25.33,0,1,0,0,0
22,860,48.33,98.80739130434782,54.9,1,1,1,47348,0
22,328,47.5,74.90462962962964,69.5,2,1,0,0,0
22,598,26.67,11.769473684210524,8.67,0,0,0,0,0
23,1008,53.33,80.81643274853802,54.18,1,1,1,30997,0
23,32,35.83,33.0190625,37.08,1,1,1,32142,0
24,291,37.5,18.976907630522078,19.5,0,0,0,0,0
24,161,26.67,9.6915,8.67,0,0,0,0,0
25,842,33.33,79.99333333333331,89.87,2,1,1,41539,1
25,991,36.67,78.37366666666667,70.72,1,1,1,40130,1
26,993,70.83,99.99915923566878,100.0,3,1,1,64201,0
26,617,75.33,99.99915923566878,100.0,3,1,1,63383,1
26,533,54.17,82.2016993464052,66.17,1,1,0,0,1
26,634,49.05,44.21032786885246,71.05,2,0,0,0,0
28,454,55.0,82.2016993464052,67.0,1,0,0,0,1
28,270,32.02,27.70640000000001,29.58,1,1,1,21600,0
29,161,39.83,55.024576271186454,61.83,2,1,0,0,0
30,200,33.33,51.11882352941177,45.33,1,1,0,0,1
31,685,71.17,99.99915923566878,100.0,3,1,1,61962,0
31,482,52.02,67.60333333333332,64.02,1,1,0,0,1
31,857,37.5,18.976907630522078,19.5,0,0,0,0,0
33,555,54.17,98.37586206896552,89.56,1,1,1,43961,1
35,870,55.0,99.99915923566878,100.0,3,1,1,48564,1
36,267,55.83,99.742,100.0,3,1,1,46449,1
37,699,58.33,99.99915923566878,100.0,3,1,1,56722,1
37,815,61.67,99.99915923566878,100.0,3,1,1,58897,1
37,518,21.67,38.13954545454545,33.67,1,0,0,0,1
37,27,35.0,36.47863636363636,17.0,0,0,0,0,0
39,324,37.5,77.50125,42.38,1,1,1,42507,0
39,780,47.33,74.90462962962964,69.33,2,1,0,0,0
39,876,50.0,74.38472222222224,84.0,2,0,0,0,1
39,235,52.5,74.38472222222224,100.0,3,0,0,0,1
39,253,46.19,68.935625,80.19,2,0,0,0,1
40,926,40.0,25.985276381909557,62.0,2,1,0,0,0
42,119,21.67,4.477469879518073,3.67,0,0,0,0,0
45,257,39.17,94.67185185185184,96.7,2,1,1,44368,1
45,304,39.17,65.7075806451613,73.17,2,0,0,0,1
45,502,39.17,38.5212,34.32,0,1,1,14714,0
46,129,43.33,56.649,25.33,0,0,0,0,0
48,860,46.67,83.3628125,100.0,2,1,1,36674,1
48,444,49.17,54.88390410958904,31.17,0,0,0,0,0
49,569,39.17,53.011842105263156,51.17,1,1,0,0,1
50,397,43.33,74.05384615384615,87.24,2,1,1,39748,0
50,335,37.5,63.15041666666667,79.87,2,1,1,35340,0
51,576,64.17,100.0,100.0,2,1,1,45269,1
52,622,63.33,99.99915923566878,100.0,3,1,1,65805,1
52,778,57.86,99.99915923566878,100.0,3,1,1,48137,0
53,624,53.33,82.2016993464052,65.33,1,1,0,0,1
53,290,21.67,4.477469879518073,3.67,0,0,0,0,0
54,357,75.0,99.14892857142857,100.0,3,1,0,0,0
54,795,60.71,82.2016993464052,94.71,2,0,0,0,1
54,778,43.33,68.59018518518518,55.33,1,0,0,0,1
54,96,34.52,53.011842105263156,46.52,1,0,0,0,1
54,968,28.33,9.6915,10.33,0,0,0,0,0
55,802,57.86,98.95521739130434,100.0,3,1,1,42438,1
56,272,38.33,57.928125,72.33,2,1,0,0,1
57,689,60.83,100.0,100.0,3,1,1,39935,1
57,136,53.33,80.81643274853802,75.33,2,0,0,0,0
58,426,71.67,99.99915923566878,100.0,3,1,1,62689,0
59,427,49.17,54.88390410958904,49.54,1,1,1,29637,0
59,197,46.67,33.733177083333324,28.67,0,0,0,0,0
59,965,47.5,33.733177083333324,29.5,0,0,0,0,0
60,534,53.33,98.37586206896552,100.0,2,1,1,44642,1
61,109,49.17,98.37586206896552,100.0,2,1,1,45938,1
61,796,68.17,92.88549382716049,100.0,3,0,0,0,0
61,291,59.17,82.2016993464052,71.17,1,1,0,0,1
61,658,44.17,33.733177083333324,66.17,2,0,0,0,0
61,518,33.33,33.0190625,32.79,1,1,1,27025,0
63,882,41.67,84.56714285714288,75.86,1,1,1,40547,1
63,688,24.52,6.847083333333337,6.52,0,0,0,0,0
64,1020,11.67,0.0076363636363636364,0.0,0,0,0,0,0
65,324,43.33,89.87454545454544,47.89,1,1,1,41586,0
66,938,49.17,98.85,100.0,3,1,1,44494,0
66,885,44.83,56.649,66.83,2,0,0,0,0
67,897,65.0,99.99915923566878,100.0,3,1,1,48989,1
67,497,55.5,80.81643274853802,54.82,1,1,1,26636,0
69,384,50.83,99.63678571428572,100.0,3,1,1,49166,1
69,536,54.17,97.64866666666667,88.42,1,1,1,40725,1
69,1003,31.5,63.71999999999999,64.0,1,1,1,35715,1
70,193,63.33,78.17341463414634,100.0,3,1,0,0,0
71,119,68.33,78.17341463414634,70.81,1,1,1,35644,0
71,986,40.83,25.985276381909557,22.83,0,0,0,0,0
75,581,41.67,25.985276381909557,23.67,0,0,0,0,0
76,148,36.67,90.5205,94.36,2,1,1,44832,1
76,241,38.0,59.12466666666666,50.0,1,1,0,0,1
76,431,27.5,42.84162162162163,39.5,1,0,0,0,1
77,335,50.83,72.826,62.83,1,0,0,0,1
77,200,30.0,16.633636363636363,12.0,0,0,0,0,0
78,56,54.17,80.81643274853802,36.17,0,0,0,0,0
78,922,37.33,78.37366666666667,69.54,1,1,1,34900,1
79,396,27.5,9.6915,9.5,0,1,0,0,0
80,460,56.67,84.35571428571428,88.57,1,1,1,33988,1
81,938,38.33,63.15041666666667,81.45,2,1,1,37493,0
83,845,51.67,99.896,100.0,2,1,1,48231,1
83,705,70.0,92.88549382716049,82.0,1,0,0,0,1
83,529,41.5,54.46071428571429,43.8,1,1,1,35141,0
85,104,36.67,90.5205,92.98,2,1,1,40894,1
85,763,43.33,54.812571428571424,25.33,0,1,0,0,0
86,974,40.0,29.889666666666667,40.17,1,1,1,29047,0
86,881,21.67,4.477469879518073,3.67,0,0,0,0,0
87,440,43.33,33.733177083333324,25.33,0,1,0,0,0
88,938,31.67,13.24,13.67,0,0,0,0,0
88,209,29.17,9.6915,11.17,0,0,0,0,0
90,341,32.83,56.60681818181818,60.43,1,1,1,21714,1
91,565,57.5,99.99915923566878,100.0,3,1,1,52472,0
91,172,39.17,55.024576271186454,38.5,1,1,1,26658,0
92,467,56.67,59.31225806451612,58.72,1,1,1,34415,0
94,786,81.67,99.14892857142857,100.0,3,0,0,0,1
95,825,45.83,45.809861111111104,47.51,1,1,1,33383,0
97,365,56.67,99.99915923566878,100.0,3,1,1,59190,0
97,403,59.17,82.2016993464052,100.0,2,1,1,35626,1
97,561,45.83,62.091904761904765,49.01,1,1,1,37657,0
98,266,70.0,99.6335,100.0,2,1,1,38279,1
98,302,58.33,98.95521739130434,100.0,3,1,1,41349,1
99,859,42.5,57.928125,54.5,1,0,0,0,1
99,27,37.5,18.976907630522078,19.5,0,1,0,0,0
100,186,64.17,99.99915923566878,100.0,3,1,1,47935,0
100,705,23.33,38.13954545454545,35.33,1,0,0,0,1
100,258,31.67,29.551428571428566,32.83,1,1,1,31875,0
100,570,20.83,20.171249999999997,19.25,1,1,1,24061,0
100,837,29.17,11.769473684210524,11.17,0,1,0,0,0
101,780,22.33,4.477469879518073,4.33,0,0,0,0,0
102,153,63.33,99.99915923566878,100.0,2,1,1,48123,0
102,286,43.33,86.40945945945946,100.0,3,1,1,45688,0
104,734,47.86,89.87454545454544,93.03,2,1,1,43351,0
104,231,34.52,68.2207894736842,62.6,1,1,1,23074,1
105,169,54.17,98.85,100.0,3,1,1,43813,0
106,951,39.17,65.7075806451613,73.17,2,0,0,0,1
107,592,53.33,80.81643274853802,75.33,2,1,0,0,0
108,637,54.17,99.99915923566878,100.0,3,1,1,54099,0
108,176,47.5,86.40945945945946,93.15,2,1,1,44710,0
108,177,33.33,35.60416666666667,15.33,0,0,0,0,0
109,73,64.17,99.99915923566878,100.0,3,1,1,48532,0
109,403,49.17,54.88390410958904,91.17,2,1,1,34281,0
110,586,60.5,84.35571428571428,94.5,2,0,0,0,1
111,958,71.67,99.14892857142857,100.0,3,0,0,0,0
112,17,60.0,99.99915923566878,100.0,3,1,1,54317,1
112,145,48.21,72.826,82.21,2,0,0,0,1
113,352,36.67,18.976907630522078,18.67,0,1,0,0,0
114,739,53.33,82.2016993464052,87.33,2,0,0,0,1
114,254,37.5,38.5212,36.89,1,1,1,26823,0
114,649,27.5,9.6915,9.5,0,1,0,0,0
115,712,16.5,0.0076363636363636364,0.0,0,0,0,0,0
116,219,61.5,99.99915923566878,100.0,3,1,1,63835,0
117,276,50.83,44.21032786885246,50.54,1,1,1,27730,0
117,736,18.33,1.0724444444444443,0.33,0,1,0,0,0
117,13,17.5,0.0076363636363636364,0.0,0,0,0,0,0
118,193,52.5,99.99915923566878,100.0,3,1,1,50365,1
118,913,30.0,16.633636363636363,12.0,0,0,0,0,0
119,570,35.67,79.99333333333331,70.56,1,1,1,42539,1
119,693,44.17,68.935625,56.17,1,1,0,0,1
120,975,47.5,92.56652173913042,100.0,2,1,1,36973,1
120,348,60.0,80.81643274853802,82.0,2,0,0,0,0
120,897,37.5,29.889666666666667,19.5,0,1,0,0,0
121,391,39.17,72.48956521739129,92.81,2,1,1,33259,1
121,379,54.17,60.96051282051282,76.17,2,1,0,0,0
121,604,46.67,33.733177083333324,28.67,0,0,0,0,0
121,507,38.33,25.985276381909557,20.33,0,0,0,0,0
122,133,64.17,100.0,100.0,3,1,1,46375,0
123,372,60.83,93.91225,67.09,1,1,1,46462,0
124,695,38.33,76.90025641025639,82.17,2,1,1,39549,0
126,119,58.33,59.31225806451612,59.67,1,1,1,32402,0
127,891,65.0,92.88549382716049,87.0,2,1,0,0,0
129,183,57.5,94.94874999999999,91.5,2,0,0,0,1
129,775,37.5,94.92777777777776,84.58,2,1,1,48797,0
129,273,53.33,80.81643274853802,100.0,3,0,0,0,0
130,254,49.17,99.36695652173913,83.36,1,1,1,40544,1
130,276,47.33,33.733177083333324,29.33,0,0,0,0,0
131,234,61.67,92.88549382716049,95.67,2,0,0,0,1
132,760,44.17,33.733177083333324,66.17,2,1,0,0,0
133,423,47.38,33.733177083333324,29.38,0,0,0,0,0
133,886,36.19,18.976907630522078,18.19,0,1,0,0,0
134,312,49.17,98.85,100.0,3,1,1,45802,0
134,56,32.5,70.01521739130435,64.15,1,1,1,33295,1
135,417,78.33,99.99915923566878,100.0,3,1,1,48501,0
135,658,43.17,86.40945945945946,89.54,2,1,1,46759,0
136,470,72.5,99.99915923566878,100.0,3,1,1,58000,1
136,402,58.17,99.99915923566878,100.0,3,1,1,55996,0
136,788,53.33,60.96051282051282,35.33,0,0,0,0,0
136,772,47.33,33.733177083333324,69.33,2,0,0,0,0
137,433,84.17,99.99915923566878,100.0,3,1,1,52514,0
137,763,52.5,91.30000000000001,96.66,2,1,1,40455,0
137,997,45.0,68.59018518518518,100.0,3,1,0,0,1
140,325,88.33,99.99915923566878,100.0,3,1,1,62556,0
141,631,54.17,97.64866666666667,100.0,3,1,1,41142,1
141,745,50.0,89.87454545454544,54.85,1,1,1,42418,0
141,160,42.5,77.50125,88.23,2,1,1,44950,0
142,570,41.67,94.67185185185184,100.0,3,1,1,46097,1
142,701,66.33,92.88549382716049,100.0,3,1,0,0,0
142,295,35.0,29.889666666666667,35.27,1,1,1,29347,0
143,37,74.17,99.99915923566878,100.0,3,1,1,47595,1
143,924,78.33,99.14892857142857,100.0,2,1,0,0,0
143,520,59.17,82.2016993464052,71.17,1,1,0,0,1
144,352,46.67,68.59018518518518,80.67,2,0,0,0,1
144,885,24.17,38.13954545454545,36.17,1,0,0,0,1
144,212,21.67,4.477469879518073,3.67,0,0,0,0,0
145,657,55.0,80.81643274853802,77.0,2,1,0,0,0
145,654,39.17,57.928125,73.17,2,0,0,0,1
146,445,28.33,9.6915,10.33,0,0,0,0,0
147,915,49.17,86.59043478260871,93.59,2,1,1,41204,0
147,554,44.52,68.935625,56.52,1,0,0,0,1
148,79,49.17,84.05257142857143,71.17,2,1,0,0,0
148,956,49.17,74.38472222222224,61.17,1,0,0,0,1
148,537,33.33,51.135666666666665,45.33,1,0,0,0,1
148,242,30.0,51.11882352941177,64.0,2,1,0,0,1
148,653,32.5,16.633636363636363,14.5,0,1,0,0,0
149,128,66.33,93.91225,100.0,3,1,1,46084,0
149,397,46.5,45.809861111111104,47.56,1,1,1,31593,0
149,628,41.67,38.5212,42.35,1,1,1,30523,0
150,696,57.0,80.81643274853802,39.0,0,1,0,0,0
150,822,52.5,40.60371428571428,34.5,0,0,0,0,0
150,505,33.33,33.0190625,23.85,0,1,1,1500,0
151,469,50.83,96.72952380952381,97.05,2,1,1,46350,0
152,466,58.33,99.99915923566878,100.0,3,1,1,49754,0
152,904,54.17,93.91225,100.0,2,1,1,45874,0
152,960,58.33,80.81643274853802,80.33,2,1,0,0,0
152,730,37.5,59.12466666666666,71.5,2,0,0,0,1
153,820,57.5,97.48826086956524,100.0,2,1,1,37135,1
153,829,49.17,86.59043478260871,93.15,2,1,1,39946,0
153,636,34.17,36.47863636363636,32.57,1,1,1,24011,0
154,696,62.5,78.17341463414634,96.5,2,1,0,0,1
155,524,59.17,99.99915923566878,100.0,3,1,1,52854,1
155,163,32.5,39.34749999999999,34.39,1,1,1,33971,0
156,742,42.5,94.67185185185184,99.93,2,1,1,44081,1
156,469,47.33,74.05384615384615,90.98,2,1,1,38990,0
159,527,37.86,55.024576271186454,19.86,0,0,0,0,0
160,591,47.33,45.809861111111104,49.47,1,1,1,34690,0
160,655,37.5,18.976907630522078,19.5,0,0,0,0,0
160,53,25.83,6.847083333333337,7.83,0,1,0,0,0
161,822,43.17,68.59018518518518,77.17,2,0,0,0,1
161,882,34.17,59.12466666666666,68.17,2,1,0,0,1
161,430,47.33,54.812571428571424,100.0,3,0,0,0,0
161,771,28.33,42.84162162162163,62.33,2,0,0,0,1
162,692,48.33,100.0,100.0,3,1,1,54539,0
162,156,39.17,63.35999999999999,21.17,0,0,0,0,0
162,1010,43.33,54.812571428571424,95.33,3,1,0,0,0
162,480,27.5,9.6915,9.5,0,0,0,0,0
163,640,47.83,40.60371428571428,49.1,1,1,1,32194,0
164,408,53.33,99.99915923566878,100.0,3,1,1,52615,0
165,989,65.83,99.99915923566878,100.0,3,1,1,56330,0
165,929,58.33,80.81643274853802,59.18,1,1,1,31000,0
166,185,50.0,54.88390410958904,32.0,0,0,0,0,0
166,884,32.5,16.633636363636363,14.5,0,0,0,0,0
167,420,72.5,83.328,94.5,2,0,0,0,0
167,721,24.17,6.847083333333337,6.17,0,0,0,0,0
169,255,44.17,90.46851851851852,100.0,3,1,1,43245,1
170,322,37.5,59.12466666666666,71.5,2,1,0,0,1
170,192,38.33,55.024576271186454,60.33,2,0,0,0,0
170,272,35.0,36.47863636363636,17.0,0,0,0,0,0
171,704,25.83,6.847083333333337,7.83,0,0,0,0,0
172,74,48.33,99.742,100.0,2,1,1,45559,1
172,262,49.17,99.63678571428572,97.01,2,1,1,50975,0
172,407,27.5,42.84162162162163,39.5,1,0,0,0,1
172,619,31.5,16.633636363636363,13.5,0,0,0,0,0
173,201,62.5,83.328,96.5,2,0,0,0,1
173,970,54.67,82.2016993464052,88.67,2,1,0,0,1
173,860,40.36,57.928125,52.36,1,0,0,0,1
173,938,37.5,57.928125,71.5,2,0,0,0,1
173,47,49.67,54.88390410958904,47.04,1,1,1,21069,0
173,858,33.69,51.11882352941177,45.69,1,1,0,0,1
173,355,37.5,18.976907630522078,19.5,0,0,0,0,0
175,352,63.83,99.99915923566878,100.0,3,1,1,62664,0
175,676,71.67,99.99915923566878,100.0,3,1,1,63085,0
175,713,45.0,94.19607142857141,100.0,3,1,1,41281,0
175,145,32.5,51.11882352941177,44.5,1,1,0,0,1
176,28,57.02,99.99915923566878,100.0,3,1,1,47570,1
177,915,61.67,92.88549382716049,95.67,2,0,0,0,1
177,370,43.33,33.733177083333324,25.33,0,1,0,0,0
177,795,35.0,18.976907630522078,17.0,0,0,0,0,0
178,635,51.67,99.742,87.04,1,1,1,43906,1
178,657,64.17,92.88549382716049,86.17,2,1,0,0,0
179,944,67.33,99.74545454545455,100.0,2,1,1,47478,0
179,500,43.33,77.09447368421054,72.74,1,1,1,26884,1
179,526,46.67,45.809861111111104,44.23,1,1,1,21601,0
180,1001,70.0,99.99915923566878,100.0,3,1,1,58576,0
180,968,42.02,50.092571428571404,43.23,1,1,1,32017,0
181,702,85.0,99.99915923566878,100.0,3,1,1,68161,0
181,718,58.33,99.99915923566878,100.0,2,1,1,48635,1
181,319,52.5,84.05257142857143,100.0,3,1,0,0,0
182,849,49.17,99.36695652173913,100.0,3,1,1,40769,1
183,791,47.5,45.809861111111104,49.23,1,1,1,33508,0
183,20,10.0,0.0076363636363636364,0.0,0,0,0,0,0
184,855,54.17,82.2016993464052,100.0,3,1,0,0,1
184,350,69.17,78.17341463414634,81.17,1,0,0,0,1
184,378,21.67,4.477469879518073,3.67,0,0,0,0,0
185,811,17.5,20.171249999999997,15.29,1,1,1,22249,0
186,251,64.17,99.99915923566878,100.0,3,1,1,52243,1
186,38,58.33,94.94874999999999,100.0,2,1,1,35165,1
186,476,40.83,50.092571428571404,42.13,1,1,1,32294,0
189,752,55.67,99.99915923566878,100.0,3,1,1,58588,0
190,472,57.86,100.0,100.0,3,1,1,46743,0
190,439,54.17,98.37586206896552,89.82,1,1,1,44726,1
190,966,30.0,63.71999999999999,61.6,1,1,1,33150,1
190,587,39.17,55.024576271186454,61.17,2,1,0,0,0
191,803,48.17,54.88390410958904,70.17,2,0,0,0,0
193,576,56.67,84.35571428571428,78.67,2,1,0,0,0
193,619,35.67,52.8584,79.01,2,1,1,38128,0
193,876,34.52,36.47863636363636,16.52,0,1,0,0,0
193,503,30.0,16.633636363636363,12.0,0,0,0,0,0
194,245,48.17,96.72952380952381,94.46,2,1,1,46533,0
194,843,36.67,78.37366666666667,68.96,1,1,1,35127,1
194,394,48.33,74.90462962962964,100.0,3,0,0,0,0
196,587,69.17,99.99915923566878,100.0,3,1,1,48914,0
196,548,61.33,99.99915923566878,100.0,3,1,1,56568,0
197,330,27.02,9.6915,9.02,0,1,0,0,0
197,802,27.02,9.6915,9.02,0,0,0,0,0
197,100,27.5,9.6915,9.5,0,0,0,0,0
198,256,41.5,25.985276381909557,23.5,0,1,0,0,0
199,652,49.17,99.63678571428572,100.0,2,1,1,48655,1
200,284,48.33,54.88390410958904,30.33,0,0,0,0,0
201,883,32.5,46.19681818181819,44.5,1,0,0,0,1
201,179,21.67,4.477469879518073,3.67,0,1,0,0,0
202,81,33.33,27.964615384615392,31.8,1,1,1,24188,0
202,156,27.5,9.6915,9.5,0,0,0,0,0
203,50,46.67,84.05257142857143,68.67,2,0,0,0,0
203,1002,57.5,59.31225806451612,100.0,2,1,1,35709,0
203,138,45.0,56.649,67.0,2,0,0,0,0
203,391,42.5,50.092571428571404,42.88,1,1,1,29667,0
204,86,43.17,75.64000000000001,100.0,3,1,0,0,1
204,19,37.5,55.024576271186454,19.5,0,1,0,0,0
206,537,52.33,99.99915923566878,100.0,3,1,1,51158,0
207,282,70.0,99.99915923566878,100.0,3,1,1,52754,1
207,514,72.5,99.99915923566878,100.0,3,1,1,61348,0
207,365,48.33,98.37586206896552,100.0,2,1,1,44975,1
207,834,45.0,56.649,67.0,2,0,0,0,0
208,828,42.17,68.2207894736842,71.76,1,1,1,27394,1
208,117,24.17,38.13954545454545,36.17,1,0,0,0,1
209,120,43.33,68.935625,77.33,2,1,0,0,1
210,356,78.33,99.99915923566878,100.0,3,1,1,55870,1
211,520,45.0,97.89433333333334,100.0,3,1,1,51261,0
212,222,51.33,85.02141025641026,63.33,1,1,0,0,1
212,598,57.5,82.2016993464052,91.5,2,1,0,0,1
212,904,53.33,80.81643274853802,55.87,1,1,1,35821,0
212,916,36.67,18.976907630522078,18.67,0,1,0,0,0
213,926,75.0,99.99915923566878,100.0,3,1,1,56878,1
213,591,62.5,92.88549382716049,44.5,0,1,0,0,0
213,621,60.0,82.2016993464052,94.0,2,1,0,0,1
213,78,44.52,61.362022471910095,78.52,2,0,0,0,1
213,482,42.17,25.985276381909557,24.17,0,1,0,0,0
214,733,63.33,92.88549382716049,100.0,3,1,0,0,1
214,139,42.5,68.2207894736842,72.72,1,1,1,29189,1
215,578,40.0,25.985276381909557,22.0,0,0,0,0,0
218,924,42.5,94.67185185185184,100.0,3,1,1,45532,1
218,35,25.67,20.171249999999997,21.96,0,1,1,17976,0
219,110,51.67,97.64866666666667,86.2,1,1,1,41523,1
220,699,38.17,51.81103448275863,50.17,1,0,0,0,1
221,289,46.5,86.40945945945946,52.6,1,1,1,45991,0
222,449,59.5,99.99915923566878,100.0,3,1,1,55141,1
223,175,66.33,93.39131147540984,100.0,3,1,1,42852,0
223,698,21.67,4.477469879518073,3.67,0,0,0,0,0
225,343,55.83,82.2016993464052,85.28,1,1,1,27009,1
226,665,64.17,99.99915923566878,100.0,3,1,1,51189,1
226,786,59.17,93.39131147540984,100.0,2,1,1,41321,0
226,655,49.17,85.02141025641026,83.17,2,1,0,0,1
227,159,42.5,94.67185185185184,77.05,1,1,1,41581,1
228,979,64.88,92.88549382716049,100.0,3,1,0,0,0
228,954,61.33,82.2016993464052,95.33,2,1,0,0,1
229,408,34.52,52.8584,36.2,1,1,1,33385,0
230,871,35.0,19.45357142857143,17.0,0,0,0,0,0
231,69,35.83,18.976907630522078,17.83,0,0,0,0,0
233,537,44.17,56.649,96.17,3,0,0,0,0
234,426,41.67,25.985276381909557,63.67,2,0,0,0,0
235,985,73.33,99.99915923566878,100.0,3,1,1,67402,0
236,477,62.5,99.99915923566878,100.0,3,1,1,54695,1
236,783,47.5,61.362022471910095,59.5,1,1,0,0,1
237,421,43.33,45.809861111111104,42.25,1,1,1,25495,0
238,285,65.0,99.99915923566878,100.0,3,1,1,57787,1
238,135,51.5,99.36695652173913,100.0,3,1,1,43247,1
238,330,47.33,96.85777777777778,100.0,3,1,1,46090,1
