ractor_user_id,target_user_id,persona,budget_diff,planning_diff,social_diff,same_budget,same_planning_style,same_social_battery,shared_languages_count,shared_activities_count,shared_destination_types_count,shared_experience_types_count,shared_looking_for_what_count,language_score,activity_score,destination_score,experience_score,intent_score,static_score,interest_probability,card_click,full_profile_open,dwell_time_ms,saved_profile,interaction_type,matched_proxy,label,relevance_score
673,31,BUDGET_CONSCIOUS,2,1,1,0,0,0,1,2,1,0,1,0.5,0.3333,1.0,0.0,1.0,43.33,0.0,1,0,0,0,NO,0,0,25.33
921,115,SPONTANEOUS_ADVENTURER,0,2,0,1,0,1,1,3,1,1,1,0.5,0.75,0.5,1.0,1.0,68.33,0.8346,1,1,50739,0,SUPER_LIKE,1,3,100.0
592,152,SELECTIVE_PLANNER,1,0,0,0,1,1,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,59.17,0.8194,1,0,0,0,YES,1,3,100.0
398,161,SOCIAL_EXPLORER,1,1,0,0,0,1,1,1,1,1,0,0.5,0.25,1.0,1.0,0.0,58.33,0.9162,1,1,63356,0,YES,1,3,100.0
273,560,SOCIAL_EXPLORER,0,1,1,1,0,0,1,4,1,1,0,1.0,0.8,1.0,1.0,0.0,79.33,1.0,1,1,62383,1,YES,1,3,100.0
515,308,SOCIAL_EXPLORER,1,2,2,0,0,0,1,0,0,0,0,0.5,0.0,0.0,0.0,0.0,15.83,0.0,0,0,0,0,NO,0,0,0.0
607,256,SOCIAL_EXPLORER,0,0,1,1,1,0,1,1,1,0,0,0.5,0.2,1.0,0.0,0.0,53.17,0.6719,0,0,0,1,YES,0,2,87.17
473,281,SOCIAL_EXPLORER,1,0,1,0,1,0,1,1,0,0,0,1.0,0.1429,0.0,0.0,0.0,46.19,0.6625,1,1,38406,1,YES,0,2,100.0
901,717,CAUTIOUS_INTROVERT,0,1,2,1,0,0,1,1,1,0,0,0.5,0.1667,0.5,0.0,0.0,35.83,0.0919,0,0,0,0,NO,0,0,17.83
961,261,SPONTANEOUS_ADVENTURER,1,1,1,0,0,0,1,1,1,0,0,0.3333,0.1667,0.5,0.0,0.0,32.5,0.5429,1,1,31804,1,SAVE_ONLY,0,1,63.63
968,445,SOCIAL_EXPLORER,1,0,2,0,1,0,1,1,0,0,1,0.5,0.2,0.0,0.0,1.0,36.5,0.2446,0,0,0,0,NO,0,0,18.5
711,250,BUDGET_CONSCIOUS,2,1,2,0,0,0,1,2,0,0,0,0.3333,0.2857,0.0,0.0,0.0,18.21,0.0,0,0,0,0,NO,0,0,0.21
153,557,SOCIAL_EXPLORER,0,1,1,1,0,0,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0,53.33,0.8035,0,0,0,1,YES,1,3,100.0
